OP;ODP;PEZZI ;DATA;ORA START;ORA STOP;SECONDI;CICLO;WEEKNUM;;;WEEK;SOMMA;MINUTI ;ORE / SETTIMANA;ORE GIORNO (5 GG LAV.);MEDIA ORE GIORNO 
OP000036;9999001;1;15/05/2023;15:27:35;16:01:44;2049;2049;20;;;;;;;;
OP000035;9999001;1;15/05/2023;16:29:12;16:37:26;494;494;20;;;;;;;;
OP000036;9999001;1;15/05/2023;17:00:18;17:12:51;753;753;20;;;;;;;;
OP000035;9999001;1;15/05/2023;17:25:25;17:32:15;410;410;20;;;;;;;;
OP000033;9999001;1;16/05/2023;08:00:14;08:35:42;2128;2128;20;;;;;;;;
OP000031;9999001;1;16/05/2023;08:01:02;09:03:58;3776;3776;20;;;;;;;;
OP000011;9999001;1;16/05/2023;10:10:58;10:38:56;1678;1678;20;;;;;;;;
OP000011;9999001;1;16/05/2023;11:53:35;12:03:14;579;579;20;;;;;;;;
OP000036;9999001;1;16/05/2023;15:16:39;15:58:22;2503;2503;20;;;;;;;;
OP000036;9999001;1;16/05/2023;16:46:00;17:02:51;1011;1011;20;;;;;;;;
OP000008;9999001;1;17/05/2023;06:58:14;08:44:12;6358;6358;20;;;;;;;;
OP000035;9999001;1;17/05/2023;08:01:00;08:54:25;3205;3205;20;;;;;;;;
OP000031;9999001;1;17/05/2023;08:02:14;08:56:17;3243;3243;20;;;;;;;;
OP000031;9999001;1;17/05/2023;09:30:19;09:44:56;877;877;20;;;;;;;;
OP000031;9999001;1;17/05/2023;10:10:41;10:21:57;676;676;20;;;;;;;;
OP000031;9999001;1;17/05/2023;11:09:14;11:30:09;1255;1255;20;;;;;;;;
OP000008;9999001;2;17/05/2023;13:01:35;13:40:14;2319;1159,5;20;;;;;;;;
OP000031;9999001;1;17/05/2023;15:26:12;15:45:01;1129;1129;20;;;;;;;;
OP000031;9999001;1;17/05/2023;16:37:19;16:56:32;1153;1153;20;;;;;;;;
OP000036;9999001;1;18/05/2023;07:58:46;09:06:45;4079;4079;20;;;;;;;;
OP000008;9999001;2;18/05/2023;06:58:01;09:31:46;9225;4612,5;20;;;;;;;;
OP000031;9999001;1;18/05/2023;10:25:59;10:37:14;675;675;20;;;;;;;;
OP000031;9999001;1;18/05/2023;11:01:41;11:08:40;419;419;20;;;;;;;;
OP000031;9999001;1;18/05/2023;11:51:20;12:06:47;927;927;20;;;;;;;;
OP000035;9999001;1;18/05/2023;13:34:16;13:44:13;597;597;20;;;;;;;;
OP000035;9999001;1;18/05/2023;14:10:56;14:19:20;504;504;20;;;;;;;;
OP000035;9999001;1;18/05/2023;14:40:43;14:45:29;286;286;20;;;;;;;;
OP000035;9999001;1;18/05/2023;15:06:53;15:11:42;289;289;20;;;;;;;;
OP000035;9999001;1;18/05/2023;15:28:52;15:33:10;258;258;20;;;;;;;;
OP000035;9999001;1;18/05/2023;16:19:52;16:27:09;437;437;20;;;;;;;;
OP000035;9999001;1;18/05/2023;17:13:52;17:21:51;479;479;20;;;;;;;;
OP000035;9999001;1;19/05/2023;07:59:44;08:51:42;3118;3118;20;;;;;;;;
OP000008;9999001;1;19/05/2023;07:03:29;09:01:51;7102;7102;20;;;;;;;;
OP000035;9999001;1;19/05/2023;09:25:23;09:32:43;440;440;20;;;;;;;;
OP000035;9999001;1;19/05/2023;10:04:22;10:10:27;365;365;20;;;;;;;;
OP000035;9999001;1;19/05/2023;10:47:20;10:52:44;324;324;20;;;;;;;;
OP000035;9999001;1;19/05/2023;11:22:52;11:27:37;285;285;20;;;;;;;;
OP000035;9999001;1;19/05/2023;11:57:43;12:00:54;191;191;20;;;;;;;;
OP000008;9999001;1;19/05/2023;12:46:00;12:55:12;552;552;20;;;;;;;;
OP000036;9999001;1;19/05/2023;14:28:35;14:45:16;1001;1001;20;;;;;;;;
OP000036;9999001;1;19/05/2023;15:28:50;15:35:57;427;427;20;;;;;;;;
OP000036;9999001;1;19/05/2023;16:27:12;16:35:55;523;523;20;;;;;;;;
OP000008;9999001;1;22/05/2023;07:02:49;08:38:03;5714;5714;21;;;;;;;;
OP000036;9999001;1;22/05/2023;09:37:14;10:00:43;1409;1409;21;;;;;;;;
OP000036;9999001;1;22/05/2023;10:49:51;11:27:34;2263;2263;21;;;;;;;;
OP000036;9999001;1;22/05/2023;11:50:54;12:03:25;751;751;21;;;;;;;;
OP000008;9999001;1;22/05/2023;12:41:22;13:08:05;1603;1603;21;;;;;;;;
OP000035;9999001;1;22/05/2023;14:01:36;14:26:07;1471;1471;21;;;;;;;;
OP000035;9999001;1;22/05/2023;15:11:16;15:26:54;938;938;21;;;;;;;;
OP000035;9999001;1;22/05/2023;15:57:58;16:08:53;655;655;21;;;;;;;;
OP000035;9999001;1;22/05/2023;16:38:45;17:17:43;2338;2338;21;;;;;;;;
OP000008;9999001;1;23/05/2023;07:01:54;08:40:18;5904;5904;21;;;;;;;;
OP000031;9999001;1;23/05/2023;07:59:56;08:58:53;3537;3537;21;;;;;;;;
OP000031;9999001;1;23/05/2023;10:43:04;10:48:29;325;325;21;;;;;;;;
OP000031;9999001;1;23/05/2023;11:40:27;11:44:59;272;272;21;;;;;;;;
OP000035;9999001;1;23/05/2023;13:55:03;13:59:15;252;252;21;;;;;;;;
OP000035;9999001;1;23/05/2023;14:14:24;14:15:47;83;83;21;;;;;;;;
OP000035;9999001;1;23/05/2023;14:46:17;14:49:10;173;173;21;;;;;;;;
OP000035;9999001;1;23/05/2023;15:24:35;15:26:39;124;124;21;;;;;;;;
OP000035;9999001;1;23/05/2023;16:22:31;16:25:31;180;180;21;;;;;;;;
OP000036;9999001;1;23/05/2023;17:07:30;17:13:11;341;341;21;;;;;;;;
OP000035;9999001;1;23/05/2023;17:26:13;17:27:26;73;73;21;;;;;;;;
OP000008;9999001;1;24/05/2023;07:05:31;07:55:24;2993;2993;21;;;;;;;;
OP000031;9999001;1;24/05/2023;10:39:25;10:44:27;302;302;21;;;;;;;;
OP000033;9999001;1;24/05/2023;15:55:32;16:05:10;578;578;21;;;;;;;;
OP000033;9999001;1;24/05/2023;17:21:54;17:31:53;599;599;21;;;;;;;;
OP000008;9999001;1;25/05/2023;07:03:49;07:51:40;2871;2871;21;;;;;;;;
OP000008;9999001;1;25/05/2023;12:43:57;12:49:48;351;351;21;;;;;;;;
OP000011;9999001;1;25/05/2023;15:26:50;15:36:05;555;555;21;;;;;;;;
OP000011;9999001;1;25/05/2023;17:26:46;17:33:52;426;426;21;;;;;;;;
OP000011;9999001;1;26/05/2023;08:21:18;09:38:54;4656;4656;21;;;;;;;;
OP000011;9999001;1;26/05/2023;11:11:46;11:20:57;551;551;21;;;;;;;;
OP000011;9999001;1;26/05/2023;11:56:24;12:01:00;276;276;21;;;;;;;;
OP000036;9999001;1;26/05/2023;13:31:45;13:57:53;1568;1568;21;;;;;;;;
OP000033;9999001;1;26/05/2023;16:18:05;16:28:16;611;611;21;;;;;;;;
OP000008;9999001;1;29/05/2023;07:02:10;07:53:26;3076;3076;22;;;;;;;;
OP000011;9999001;1;29/05/2023;09:20:48;09:29:00;492;492;22;;;;;;;;
OP000011;9999001;1;29/05/2023;10:28:20;10:34:07;347;347;22;;;;;;;;
OP000011;9999001;1;29/05/2023;11:54:32;12:01:07;395;395;22;;;;;;;;
OP000008;9999001;1;29/05/2023;12:46:54;12:51:38;284;284;22;;;;;;;;
OP000035;9999001;1;29/05/2023;14:12:41;14:17:22;281;281;22;;;;;;;;
OP000035;9999001;1;29/05/2023;16:10:18;16:16:30;372;372;22;;;;;;;;
